Loop Time (ms)	IR (16 bit)	Force (N)	Force (N)	Color	Speed (mm/s)	Spatial (mm)	Angle (deg)
263.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
3235.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
48.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
39.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
22.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
22.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
22.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
40.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
22.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
25.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
25.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
25.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
39.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
25.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
21.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
24.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
20.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
23.000	0.000	0.000	50.000	1.000	1.000	0.000	0.000
